complaintid,citizenid,departmentid,categoryid,complaintdetails,complaintstatus,created_at
CMP00255,C0536,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-02-02 00:00:00
CMP00256,C0927,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-10-27 00:00:00
CMP00257,C0888,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-05-30 00:00:00
CMP00258,C0665,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-03-06 00:00:00
CMP00259,C0446,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-04-17 00:00:00
CMP00260,C0679,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-02-24 00:00:00
CMP00261,C0093,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-10-26 00:00:00
CMP00262,C0543,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-03-24 00:00:00
CMP00263,C0609,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-02-21 00:00:00
CMP00264,C0678,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-04-11 00:00:00
CMP00265,C0352,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-02-08 00:00:00
CMP00266,C0567,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-06-06 00:00:00
CMP00267,C0543,D008,CAT003,Complaint about CAT003 issue in area XYZ,Submitted,2023-03-27 00:00:00
CMP00268,C0340,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-01-15 00:00:00
CMP00269,C0718,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-05-24 00:00:00
CMP00270,C0530,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-10-05 00:00:00
CMP00271,C0670,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-08-01 00:00:00
CMP00272,C0345,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-06-20 00:00:00
CMP00273,C0668,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-01-14 00:00:00
CMP00274,C0316,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-08-27 00:00:00
CMP00275,C0486,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-06-25 00:00:00
CMP00276,C0621,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-05-06 00:00:00
CMP00277,C0851,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-06-30 00:00:00
CMP00278,C0199,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-06-13 00:00:00
CMP00279,C0602,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-03-01 00:00:00
CMP00280,C0648,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-08-31 00:00:00
CMP00281,C0877,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-09-17 00:00:00
CMP00282,C0125,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-05-15 00:00:00
CMP00283,C0345,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-05-10 00:00:00
CMP00284,C0160,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-05-24 00:00:00
CMP00285,C0079,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-04-05 00:00:00
CMP00286,C0567,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-05-27 00:00:00
CMP00287,C0835,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-04-04 00:00:00
CMP00288,C0265,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-03-25 00:00:00
CMP00289,C0620,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-04-05 00:00:00
CMP00290,C0339,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-05-15 00:00:00
CMP00291,C0978,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-01-20 00:00:00
CMP00292,C0665,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-01-11 00:00:00
CMP00293,C0097,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-10-26 00:00:00
CMP00294,C0022,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-03-30 00:00:00
CMP00295,C0832,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-09-14 00:00:00
CMP00296,C0119,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-08-25 00:00:00
CMP00297,C0337,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-07-29 00:00:00
CMP00298,C0082,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-03-14 00:00:00
CMP00299,C0116,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-09-18 00:00:00
CMP00300,C0641,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-08-21 00:00:00
CMP00301,C0992,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-01-07 00:00:00
CMP00302,C0066,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-08-10 00:00:00
CMP00303,C0772,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-07-07 00:00:00
CMP00304,C0284,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-01-17 00:00:00
CMP00305,C0520,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-09-15 00:00:00
CMP00306,C0303,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-03-08 00:00:00
CMP00307,C0028,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-04-27 00:00:00
CMP00308,C0818,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-04-01 00:00:00
CMP00309,C0023,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-06-24 00:00:00
CMP00310,C0445,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-10-24 00:00:00
CMP00311,C0541,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-10-17 00:00:00
CMP00312,C0744,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-09-28 00:00:00
CMP00313,C0613,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-04-17 00:00:00
CMP00314,C0724,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-01-24 00:00:00
CMP00315,C0101,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-03-08 00:00:00
CMP00316,C0491,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-04-07 00:00:00
CMP00317,C0764,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-01-28 00:00:00
CMP00318,C0518,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-04-06 00:00:00
CMP00319,C0238,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-09-23 00:00:00
CMP00320,C0073,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-06-14 00:00:00
CMP00321,C0840,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-02-25 00:00:00
CMP00322,C0016,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-04-15 00:00:00
CMP00323,C0218,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-03-09 00:00:00
CMP00324,C0368,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-01-12 00:00:00
CMP00325,C0901,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-09-09 00:00:00
CMP00326,C0805,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-06-25 00:00:00
CMP00327,C0764,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-01-06 00:00:00
CMP00328,C0486,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-04-21 00:00:00
CMP00329,C0894,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-07-18 00:00:00
CMP00330,C0169,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-07-17 00:00:00
CMP00331,C0783,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-10-19 00:00:00
CMP00332,C0848,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-10-23 00:00:00
CMP00333,C0630,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-05-13 00:00:00
CMP00334,C0268,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-09-20 00:00:00
CMP00335,C0209,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-04-21 00:00:00
CMP00336,C0537,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-04-09 00:00:00
CMP00337,C0991,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-04-10 00:00:00
CMP00338,C0098,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-04-15 00:00:00
CMP00339,C0839,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-10-05 00:00:00
CMP00340,C0194,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-05-06 00:00:00
CMP00341,C0266,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-01-02 00:00:00
CMP00342,C0940,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-08-03 00:00:00
CMP00343,C0701,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-02-23 00:00:00
CMP00344,C0065,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-01-08 00:00:00
CMP00345,C0424,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-06-03 00:00:00
CMP00346,C0013,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-05-05 00:00:00
CMP00347,C0828,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-08-14 00:00:00
CMP00348,C0705,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-09-29 00:00:00
CMP00349,C0106,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-05-10 00:00:00
CMP00350,C0138,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-05-20 00:00:00
CMP00351,C0244,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-03-25 00:00:00
CMP00352,C0080,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-06-16 00:00:00
CMP00353,C0670,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-03-15 00:00:00
CMP00354,C0872,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-07-31 00:00:00
CMP00355,C0600,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-06-19 00:00:00
CMP00356,C0785,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-09-28 00:00:00
CMP00357,C0856,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-06-20 00:00:00
CMP00358,C0054,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-06-17 00:00:00
CMP00359,C0366,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-05-25 00:00:00
CMP00360,C0161,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-10-28 00:00:00
CMP00361,C0635,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-02-10 00:00:00
CMP00362,C0669,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-03-27 00:00:00
CMP00363,C0705,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-06-29 00:00:00
CMP00364,C0794,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-08-17 00:00:00
CMP00365,C0010,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-05-27 00:00:00
CMP00366,C0341,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-10-16 00:00:00
CMP00367,C0639,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-10-03 00:00:00
CMP00368,C0942,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-05-07 00:00:00
CMP00369,C0329,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-01-14 00:00:00
CMP00370,C0056,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-06-13 00:00:00
CMP00371,C0748,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-09-18 00:00:00
CMP00372,C0371,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-02-04 00:00:00
CMP00373,C0456,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-03-19 00:00:00
CMP00374,C0122,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-08-25 00:00:00
CMP00375,C0471,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-04-28 00:00:00
CMP00376,C0755,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-06-19 00:00:00
CMP00377,C0231,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-07-25 00:00:00
CMP00378,C0374,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-06-19 00:00:00
CMP00379,C0363,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-10-10 00:00:00
CMP00380,C0165,D002,CAT002,Complaint about CAT002 issue in area XYZ,Submitted,2023-04-17 00:00:00
CMP00381,C0671,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-03-07 00:00:00
CMP00382,C0963,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-06-09 00:00:00
CMP00383,C0014,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-05-17 00:00:00
CMP00384,C0418,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-03-24 00:00:00
CMP00385,C0693,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-01-31 00:00:00
CMP00386,C0338,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-10-05 00:00:00
CMP00387,C0597,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-05-18 00:00:00
CMP00388,C0534,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-10-08 00:00:00
CMP00389,C0888,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-09-20 00:00:00
CMP00390,C0932,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-06-02 00:00:00
CMP00391,C0311,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-03-03 00:00:00
CMP00392,C0889,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-06-11 00:00:00
CMP00393,C0743,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-02-17 00:00:00
CMP00394,C0521,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-09-25 00:00:00
CMP00395,C0481,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-02-27 00:00:00
CMP00396,C0851,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-02-12 00:00:00
CMP00397,C0434,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-10-24 00:00:00
CMP00398,C0705,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-05-18 00:00:00
CMP00399,C0373,D009,CAT004,Complaint about CAT004 issue in area XYZ,Submitted,2023-06-14 00:00:00
CMP00400,C0444,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-08-27 00:00:00
CMP00401,C0469,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-05-07 00:00:00
CMP00402,C0382,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-06-09 00:00:00
CMP00403,C0700,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-09-05 00:00:00
CMP00404,C0603,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-01-23 00:00:00
CMP00405,C0043,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-01-22 00:00:00
CMP00406,C0173,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-06-27 00:00:00
CMP00407,C0184,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-05-03 00:00:00
CMP00408,C0317,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-10-05 00:00:00
CMP00409,C0365,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-03-19 00:00:00
CMP00410,C0253,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-08-27 00:00:00
CMP00411,C0437,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-01-29 00:00:00
CMP00412,C0989,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-06-17 00:00:00
CMP00413,C0664,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-01-16 00:00:00
CMP00414,C0322,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-04-23 00:00:00
CMP00415,C0365,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-06-01 00:00:00
CMP00416,C0136,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-04-27 00:00:00
CMP00417,C0773,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-10-22 00:00:00
CMP00418,C0380,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-04-21 00:00:00
CMP00419,C0006,D008,CAT003,Complaint about CAT003 issue in area XYZ,Submitted,2023-09-11 00:00:00
CMP00420,C0524,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-06-03 00:00:00
CMP00421,C0036,D008,CAT003,Complaint about CAT003 issue in area XYZ,Submitted,2023-04-02 00:00:00
CMP00422,C0910,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-06-13 00:00:00
CMP00423,C0719,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-01-22 00:00:00
CMP00424,C0610,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-08-22 00:00:00
CMP00425,C0709,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-01-02 00:00:00
CMP00426,C0250,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-10-12 00:00:00
CMP00427,C0032,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-05-20 00:00:00
CMP00428,C0004,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-08-16 00:00:00
CMP00429,C0421,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-06-02 00:00:00
CMP00430,C0724,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-05-17 00:00:00
CMP00431,C0931,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-02-05 00:00:00
CMP00432,C0049,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-07-29 00:00:00
CMP00433,C0905,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-10-14 00:00:00
CMP00434,C0164,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-09-12 00:00:00
CMP00435,C0017,D007,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-09-19 00:00:00
CMP00436,C0796,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-08-03 00:00:00
CMP00437,C0544,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-05-17 00:00:00
CMP00438,C0499,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-05-05 00:00:00
CMP00439,C0152,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-07-11 00:00:00
CMP00440,C0734,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-05-24 00:00:00
CMP00441,C0924,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-08-14 00:00:00
CMP00442,C0745,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-10-11 00:00:00
CMP00443,C0725,D003,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-01-24 00:00:00
CMP00444,C0410,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-04-28 00:00:00
CMP00445,C0876,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-02-23 00:00:00
CMP00446,C0764,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-05-01 00:00:00
CMP00447,C0443,D002,CAT002,Complaint about CAT002 issue in area XYZ,In Progress,2023-06-28 00:00:00
CMP00448,C0417,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-05-09 00:00:00
CMP00449,C0562,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-04-07 00:00:00
CMP00450,C0045,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-09-11 00:00:00
CMP00451,C0800,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-05-05 00:00:00
CMP00452,C0967,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-06-10 00:00:00
CMP00453,C0427,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-03-26 00:00:00
CMP00454,C0587,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-01-06 00:00:00
CMP00455,C0456,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-07-30 00:00:00
CMP00456,C0883,D006,CAT006,Complaint about CAT006 issue in area XYZ,Submitted,2023-07-25 00:00:00
CMP00457,C0891,D007,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-08-15 00:00:00
CMP00458,C0467,D005,CAT007,Complaint about CAT007 issue in area XYZ,Closed,2023-07-03 00:00:00
CMP00459,C0449,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-05-30 00:00:00
CMP00460,C0515,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-06-04 00:00:00
CMP00461,C0359,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-03-31 00:00:00
CMP00462,C0200,D004,CAT008,Complaint about CAT008 issue in area XYZ,Resolved,2023-01-24 00:00:00
CMP00463,C0801,D003,CAT001,Complaint about CAT001 issue in area XYZ,In Progress,2023-08-15 00:00:00
CMP00464,C0247,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-09-23 00:00:00
CMP00465,C0002,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-05-06 00:00:00
CMP00466,C0738,D005,CAT007,Complaint about CAT007 issue in area XYZ,Resolved,2023-06-22 00:00:00
CMP00467,C0501,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-08-09 00:00:00
CMP00468,C0581,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-10-27 00:00:00
CMP00469,C0847,D008,CAT003,Complaint about CAT003 issue in area XYZ,Resolved,2023-04-23 00:00:00
CMP00470,C0180,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-04-14 00:00:00
CMP00471,C0276,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-06-24 00:00:00
CMP00472,C0235,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-08-27 00:00:00
CMP00473,C0927,D007,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-02-01 00:00:00
CMP00474,C0208,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-05-05 00:00:00
CMP00475,C0998,D005,CAT007,Complaint about CAT007 issue in area XYZ,Submitted,2023-05-08 00:00:00
CMP00476,C0105,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-06-07 00:00:00
CMP00477,C0697,D007,CAT001,Complaint about CAT001 issue in area XYZ,Closed,2023-08-16 00:00:00
CMP00478,C0636,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-07-11 00:00:00
CMP00479,C0406,D008,CAT003,Complaint about CAT003 issue in area XYZ,Closed,2023-08-24 00:00:00
CMP00480,C0062,D003,CAT001,Complaint about CAT001 issue in area XYZ,Resolved,2023-10-14 00:00:00
CMP00481,C0970,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-05-03 00:00:00
CMP00482,C0583,D001,CAT005,Complaint about CAT005 issue in area XYZ,In Progress,2023-07-16 00:00:00
CMP00483,C0939,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-07-23 00:00:00
CMP00484,C0679,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-08-06 00:00:00
CMP00485,C0567,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-02-02 00:00:00
CMP00486,C0067,D009,CAT004,Complaint about CAT004 issue in area XYZ,Closed,2023-08-07 00:00:00
CMP00487,C0322,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-04-21 00:00:00
CMP00488,C0028,D001,CAT005,Complaint about CAT005 issue in area XYZ,Resolved,2023-05-18 00:00:00
CMP00489,C0878,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-06-21 00:00:00
CMP00490,C0217,D004,CAT008,Complaint about CAT008 issue in area XYZ,In Progress,2023-03-23 00:00:00
CMP00491,C0122,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-10-06 00:00:00
CMP00492,C0135,D006,CAT006,Complaint about CAT006 issue in area XYZ,Closed,2023-05-08 00:00:00
CMP00493,C0454,D006,CAT006,Complaint about CAT006 issue in area XYZ,Resolved,2023-05-20 00:00:00
CMP00494,C0945,D006,CAT006,Complaint about CAT006 issue in area XYZ,In Progress,2023-10-21 00:00:00
CMP00495,C0552,D009,CAT004,Complaint about CAT004 issue in area XYZ,Resolved,2023-09-19 00:00:00
CMP00496,C0223,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-05-04 00:00:00
CMP00497,C0114,D001,CAT005,Complaint about CAT005 issue in area XYZ,Submitted,2023-06-27 00:00:00
CMP00498,C0726,D004,CAT008,Complaint about CAT008 issue in area XYZ,Closed,2023-08-25 00:00:00
CMP00499,C0797,D002,CAT002,Complaint about CAT002 issue in area XYZ,Closed,2023-09-20 00:00:00
CMP00500,C0578,D005,CAT007,Complaint about CAT007 issue in area XYZ,In Progress,2023-08-13 00:00:00
CMP00501,C0177,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-02-26 00:00:00
CMP00502,C0228,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-05-28 00:00:00
CMP00503,C0880,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-01-12 00:00:00
CMP00504,C0213,D002,CAT002,Complaint about CAT002 issue in area XYZ,Resolved,2023-03-18 00:00:00
CMP00505,C0750,D003,CAT001,Complaint about CAT001 issue in area XYZ,Submitted,2023-05-27 00:00:00
CMP00506,C0193,D004,CAT008,Complaint about CAT008 issue in area XYZ,Submitted,2023-07-28 00:00:00
CMP00507,C0613,D009,CAT004,Complaint about CAT004 issue in area XYZ,In Progress,2023-08-24 00:00:00
CMP00508,C0998,D008,CAT003,Complaint about CAT003 issue in area XYZ,In Progress,2023-04-05 00:00:00
CMP00509,C0555,D001,CAT005,Complaint about CAT005 issue in area XYZ,Closed,2023-01-12 00:00:00
